scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sd_risk,beta_risk,sharpe_risk,sortino_risk,risk_score,calculated_risk_level,calculated_risk_numeric,risk_explanation,return_score,sharpe_quality,sortino_quality,fund_quality_score,risk_gap,risk_compatibility,recommendation_score
Sundaram Balanced Advantage Fund,500,100,0.62,1532.0,10,S Bharath,3.24,2.13,7.66,0.51,1.51,4,Sundaram Mutual Fund,5,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,11.9,7.2,15.789473684210526,15.789473684210526,31.57894736842105,52.63157894736842,26.315789473684212,Low,2,Primary risk drivers: Downside Risk and Sharpe Risk.,10.526315789473683,73.68421052631578,52.63157894736842,42.105263157894726,1,75.0,52.23684210526316
Sundaram Banking & PSU Debt Fund,250,5000,0.19,450.0,10,Dwijendra Srivastava,0.73,3.49,1.35,2.13,0.48,2,Sundaram Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.5,5.0,6.1,5.88235294117647,64.70588235294117,88.23529411764706,88.23529411764706,50.58823529411765,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,5.88235294117647,17.647058823529413,17.647058823529413,12.941176470588236,0,100.0,55.05882352941177
Sundaram Consumption Fund,100,100,1.46,1106.0,10,Ratish Varier,3.32,0.56,14.69,0.8,1.28,6,Sundaram Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,7.3,22.5,8.8,17.94871794871795,51.92307692307693,61.53846153846154,32.05128205128205,36.282051282051285,Low,2,Primary risk drivers: Sharpe Risk and Market Sensitivity.,16.666666666666664,39.743589743589745,69.23076923076923,39.35897435897436,1,75.0,52.64102564102564
Sundaram Corporate Bond Fund,250,5000,0.28,996.0,10,Dwijendra Srivastava,2.14,1.84,1.74,0.58,1.15,2,Sundaram Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.5,6.8,7.3,25.0,19.444444444444446,38.88888888888889,38.88888888888889,29.444444444444446,Low,2,Primary risk drivers: Sharpe Risk and Downside Risk.,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,1,75.0,70.83333333333333
Sundaram Debt Oriented Hybrid Fund,100,5000,1.2,30.0,10,Dwijendra Srivastava,3.43,2.48,5.16,0.62,1.33,3,Sundaram Mutual Fund,2,Hybrid,Conservative Hybrid Mutual Funds,4.1,11.6,6.2,94.11764705882352,64.70588235294117,76.47058823529412,52.94117647058824,76.47058823529413,High,4,Primary risk drivers: Volatility and Sharpe Risk.,64.70588235294117,29.411764705882355,52.94117647058824,50.588235294117645,1,75.0,65.61764705882352
Sundaram Diversified Equity – Direct Growth,100,500,1.66,1623.0,10,Sudhir Kedia,3.5,0.65,15.5,0.9,1.41,6,Sundaram Mutual Fund,2,Equity,ELSS Mutual Funds,2.2,26.1,8.9,29.411764705882355,50.98039215686274,56.86274509803921,33.33333333333333,40.0,Moderate,3,Primary risk drivers: Sharpe Risk and Market Sensitivity.,33.33333333333333,45.09803921568628,68.62745098039215,47.45098039215686,0,100.0,70.90196078431373
Sundaram Dividend Yield Fund,500,5000,1.02,382.0,10,Ratish Varier,4.03,2.79,13.93,0.8,1.55,6,Sundaram Mutual Fund,0,Equity,Dividend Yield Funds,3.2,26.4,11.7,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333,39.99999999999999,Low,2,Primary risk drivers: Sharpe Risk and Volatility.,33.33333333333333,50.0,83.33333333333334,53.333333333333336,1,75.0,60.166666666666664
Sundaram Emerging Small Cap Series III – Dir Growth,0,5000,0.75,297.0,5,Rohit Seksaria,4.45,8.84,19.13,0.86,1.97,2,Sundaram Mutual Fund,0,Equity,Small Cap Mutual Funds,9.4,43.7,,76.0,76.0,36.0,16.0,56.00000000000001,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,72.0,68.0,88.0,75.6,0,100.0,87.08
Sundaram Emerging Small Cap Series IV – Dir Growth,0,5000,0.75,208.0,5,Rohit Seksaria,4.29,7.54,18.88,0.85,1.9,4,Sundaram Mutual Fund,0,Equity,Small Cap Mutual Funds,6.7,41.4,,72.0,68.0,64.0,20.0,59.2,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,44.0,40.0,84.0,54.8,0,100.0,75.24
Sundaram Emerging Small Cap Series V – Dir Growth,0,5000,0.79,79.0,5,Rohit Seksaria,4.56,8.3,19.15,0.86,1.93,6,Sundaram Mutual Fund,0,Equity,Small Cap Mutual Funds,7.6,42.3,,80.0,76.0,54.0,12.0,60.4,High,4,Primary risk drivers: Volatility and Market Sensitivity.,56.00000000000001,50.0,92.0,65.0,1,75.0,68.2
